Geographic code,Geographic name,Province or territory,Population 2016
A0A,A0A,Newfoundland and Labrador,46587
A0B,A0B,Newfoundland and Labrador,19792
A0C,A0C,Newfoundland and Labrador,12587
A0E,A0E,Newfoundland and Labrador,22294
A0G,A0G,Newfoundland and Labrador,35266
A0H,A0H,Newfoundland and Labrador,17804
A0J,A0J,Newfoundland and Labrador,7880
A0K,A0K,Newfoundland and Labrador,26058
A0L,A0L,Newfoundland and Labrador,7643
A0M,A0M,Newfoundland and Labrador,6200
A0N,A0N,Newfoundland and Labrador,13815
A0P,A0P,Newfoundland and Labrador,13721
A0R,A0R,Newfoundland and Labrador,2543
A1A,A1A,Newfoundland and Labrador,30382
A1B,A1B,Newfoundland and Labrador,19867
A1C,A1C,Newfoundland and Labrador,12712
A1E,A1E,Newfoundland and Labrador,27115
A1G,A1G,Newfoundland and Labrador,5777
A1H,A1H,Newfoundland and Labrador,5493
A1K,A1K,Newfoundland and Labrador,12253
A1L,A1L,Newfoundland and Labrador,21376
A1M,A1M,Newfoundland and Labrador,8058
A1N,A1N,Newfoundland and Labrador,22957
A1S,A1S,Newfoundland and Labrador,6142
A1V,A1V,Newfoundland and Labrador,11698
A1W,A1W,Newfoundland and Labrador,11209
A1X,A1X,Newfoundland and Labrador,15003
A1Y,A1Y,Newfoundland and Labrador,5669
A2A,A2A,Newfoundland and Labrador,9610
A2B,A2B,Newfoundland and Labrador,4909
A2H,A2H,Newfoundland and Labrador,26092
A2N,A2N,Newfoundland and Labrador,8904
A2V,A2V,Newfoundland and Labrador,7288
A5A,A5A,Newfoundland and Labrador,8111
A8A,A8A,Newfoundland and Labrador,6901
B0C,B0C,Nova Scotia,2649
B0E,B0E,Nova Scotia,25881
B0H,B0H,Nova Scotia,9953
B0J,B0J,Nova Scotia,39302
B0K,B0K,Nova Scotia,35895
B0L,B0L,Nova Scotia,2364
B0M,B0M,Nova Scotia,16997
B0N,B0N,Nova Scotia,39559
B0P,B0P,Nova Scotia,40417
B0R,B0R,Nova Scotia,5779
B0S,B0S,Nova Scotia,17212
B0T,B0T,Nova Scotia,14607
B0V,B0V,Nova Scotia,5809
B0W,B0W,Nova Scotia,26951
B1A,B1A,Nova Scotia,15937
B1B,B1B,Nova Scotia,1196
B1C,B1C,Nova Scotia,1654
B1E,B1E,Nova Scotia,1564
B1G,B1G,Nova Scotia,1867
B1H,B1H,Nova Scotia,9642
B1J,B1J,Nova Scotia,969
B1K,B1K,Nova Scotia,3049
B1L,B1L,Nova Scotia,4905
B1M,B1M,Nova Scotia,1130
B1N,B1N,Nova Scotia,5705
B1P,B1P,Nova Scotia,14296
B1R,B1R,Nova Scotia,4318
B1S,B1S,Nova Scotia,8548
B1T,B1T,Nova Scotia,354
B1V,B1V,Nova Scotia,6311
B1W,B1W,Nova Scotia,3422
B1X,B1X,Nova Scotia,843
B1Y,B1Y,Nova Scotia,5885
B2A,B2A,Nova Scotia,8017
B2C,B2C,Nova Scotia,290
B2E,B2E,Nova Scotia,41
B2G,B2G,Nova Scotia,14361
B2H,B2H,Nova Scotia,14477
B2J,B2J,Nova Scotia,68
B2N,B2N,Nova Scotia,19842
B2R,B2R,Nova Scotia,2459
B2S,B2S,Nova Scotia,7583
B2T,B2T,Nova Scotia,16980
B2V,B2V,Nova Scotia,12230
B2W,B2W,Nova Scotia,32537
B2X,B2X,Nova Scotia,11629
B2Y,B2Y,Nova Scotia,14595
B2Z,B2Z,Nova Scotia,8258
B3A,B3A,Nova Scotia,20131
B3B,B3B,Nova Scotia,1438
B3E,B3E,Nova Scotia,6782
B3G,B3G,Nova Scotia,10593
B3H,B3H,Nova Scotia,18814
B3J,B3J,Nova Scotia,5901
B3K,B3K,Nova Scotia,20591
B3L,B3L,Nova Scotia,17534
B3M,B3M,Nova Scotia,32204
B3N,B3N,Nova Scotia,13604
B3P,B3P,Nova Scotia,9347
B3R,B3R,Nova Scotia,8484
B3S,B3S,Nova Scotia,12895
B3T,B3T,Nova Scotia,16884
B3V,B3V,Nova Scotia,5999
B3Z,B3Z,Nova Scotia,16905
B4A,B4A,Nova Scotia,17900
B4B,B4B,Nova Scotia,13028
